Comparison,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,F1-score_Mean,F1-score_Std
NC vs MCI,Before Scaling,NeuralNet,0.601685393258427,0.1394967690202899,0.5101399245144067,0.1342505492523919,0.45555555555555555,0.18698408595436128,0.6375978090766823,0.19464132084116076,0.3075962402377497,0.10529202558717746
NC vs MCI,Before Scaling,KNN,0.8197906026557712,0.011806068508946572,0.6888727791586119,0.0842457734899247,0.2084967320261438,0.06228041437684494,0.9664319248826292,0.01607797966932667,0.3055440533701403,0.07140780520565125
NC vs MCI,Before Scaling,RandomForest,0.8467568947906028,0.024192221781670485,0.8018411120316671,0.061509760603826645,0.20784313725490194,0.1305063630768136,1.0,0.0,0.32709956709956706,0.19796821261101544
NC vs MCI,Before Scaling,SVM,0.8063074565883553,0.004873680971397436,0.799436159440302,0.0427199694150501,0.0,0.0,1.0,0.0,0.0,0.0
NC vs MCI,Before Scaling,LogisticRegression,0.8017620020429008,0.036340038150421916,0.7642709196354598,0.04075731904298573,0.49869281045751634,0.09560150178873113,0.8743348982785604,0.037904165904849005,0.493475006106585,0.08459282000222461
NC vs MCI,After Scaling,NeuralNet,0.615270684371808,0.1837865514014779,0.521188898094449,0.09381689732389219,0.3261437908496732,0.18033768240676568,0.6854851330203442,0.2631617653005808,0.24179292929292928,0.055076417541514294
NC vs MCI,After Scaling,KNN,0.813023493360572,0.01930345445684624,0.6843965755316211,0.0789687575274213,0.18562091503267972,0.09523214495975944,0.9636932707355242,0.021065359537164915,0.2688717948717949,0.12168140463545177
NC vs MCI,After Scaling,RandomForest,0.8423391215526047,0.013784378392755741,0.8165792138451625,0.07239105182130844,0.19673202614379087,0.0851054683864936,0.9971830985915492,0.0062987830352106665,0.31793650793650796,0.12327622219605743
NC vs MCI,After Scaling,SVM,0.8063074565883553,0.004873680971397436,0.8113090306545153,0.05861649014718674,0.0,0.0,1.0,0.0,0.0,0.0
NC vs MCI,After Scaling,LogisticRegression,0.8153217568947906,0.03600812083826061,0.7538041977354322,0.06166812067516234,0.488235294117647,0.07669649888473705,0.8939358372456964,0.033174843353195115,0.5070728291316526,0.08299867481961773
NC vs AD,Before Scaling,NeuralNet,0.49999068120398854,0.02041205636354538,0.5076869011338989,0.07035032656120138,0.5633333333333332,0.3828402625987328,0.4341549295774648,0.38645294765745153,0.4619335713287674,0.26607466406014657
NC vs AD,Before Scaling,KNN,0.7193830957040351,0.052111087246142454,0.7706420393707273,0.05331856465441042,0.6437894736842105,0.07847515697097368,0.7990610328638498,0.04144137221775868,0.7001009155753681,0.0634759309136726
NC vs AD,Before Scaling,RandomForest,0.8869164103997763,0.04100071686384363,0.953609504983115,0.021376254478683646,0.8857543859649123,0.02839895177080518,0.8881064162754303,0.06101922548353275,0.889769047540228,0.0387475083687049
NC vs AD,Before Scaling,SVM,0.8991985835430063,0.019974356132630246,0.9606360541416137,0.01142811461880144,0.8936491228070176,0.020842666422831307,0.9049295774647886,0.03920179984311534,0.9010237376904884,0.017701505885524604
NC vs AD,Before Scaling,LogisticRegression,0.8038393439567608,0.0402207267734313,0.8919183208412267,0.026038853245457374,0.798,0.030514113310255494,0.8099374021909233,0.053317449333980485,0.8068684481658851,0.03700560452491218
NC vs AD,After Scaling,NeuralNet,0.5326530612244899,0.044322220759896384,0.5551205556928315,0.06554689786254805,0.5769824561403508,0.1875821108809707,0.4865414710485133,0.14615369158514474,0.5468805629084331,0.10275736361018475
NC vs AD,After Scaling,KNN,0.686674121703476,0.010917398072378168,0.777499903906872,0.021574176949877583,0.5560350877192983,0.059502865065993796,0.8242175273865415,0.06221758300609569,0.6438265231128464,0.027473350726282434
NC vs AD,After Scaling,RandomForest,0.8760506942503028,0.019877136064777427,0.9458443016775115,0.017224968289190606,0.8750175438596491,0.024088683999542056,0.877151799687011,0.05838358070324674,0.8789074454831463,0.015820200397772412
