Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,F1-score_Mean,F1-score_Std
NC vs MCI,50,Before Scaling,NeuralNet,0.5180722891566265,0.0802585096052664,0.5395466517306569,0.0528634816977835,0.5365160158602781,0.2490162158624719,0.5128072134920371,0.2781042557106526,0.4487004635400895,0.0840535686762804
NC vs MCI,50,Before Scaling,KNN,0.6674698795180722,0.0672705748199692,0.6839259156167977,0.0602644761785631,0.2909606786655967,0.1344460688984753,0.9148072013793525,0.0199419560995461,0.3966521449343964,0.1384341118287443
NC vs MCI,50,Before Scaling,RandomForest,0.7060240963855422,0.0433148867765001,0.7509174363111683,0.0642644403086842,0.45719899408424,0.0871545985893191,0.8735413459739532,0.0726400219264622,0.5466791305352685,0.0576701000832469
NC vs MCI,50,Before Scaling,SVM,0.7156626506024097,0.0344481408566163,0.7524579201652679,0.0294157399665093,0.5637276020882578,0.0750214145786353,0.8199570489754917,0.0639334050550368,0.6070058072009291,0.0401489456647942
NC vs MCI,50,Before Scaling,LogisticRegression,0.7072289156626506,0.0314755433195497,0.7507659703150942,0.0380063484068616,0.5510838341985883,0.0703194707814625,0.8134490415724773,0.0491828773553534,0.594613630133231,0.037283166072751
NC vs MCI,50,After Scaling,NeuralNet,0.5614457831325301,0.1121679629343431,0.5267648992370814,0.1548732542218346,0.4228002052592217,0.3442634424381297,0.6599088055171378,0.3153847341987564,0.3781817078007395,0.2106531678056959
NC vs MCI,50,After Scaling,KNN,0.6421686746987951,0.0584989078858323,0.6589132502613924,0.0840198951403518,0.3056243028374176,0.1321788668916423,0.8640727816457323,0.0196410943758977,0.3908095515433896,0.1347325563298577
NC vs MCI,50,After Scaling,RandomForest,0.7048192771084338,0.0450802094792041,0.7557793393281971,0.0582738763405324,0.4876604997916473,0.1355954442959967,0.8544074752184075,0.0749429717199412,0.5571370605454599,0.0793020565948536
NC vs MCI,50,After Scaling,SVM,0.6072289156626506,0.0413869012947413,0.7647078580226286,0.0284648514615056,0.0,0.0,1.0,0.0,0.0,0.0
NC vs MCI,50,After Scaling,LogisticRegression,0.7180722891566266,0.0433148867765001,0.7567554074621573,0.030862005531357,0.5700285688810279,0.0713963332367188,0.8186710727143991,0.0526692035693409,0.612458069745615,0.0451343215803721
NC vs AD,50,Before Scaling,NeuralNet,0.4922974200096148,0.0316076082784142,0.5082072235985031,0.0134027768521142,0.5532118288215849,0.2744678825273577,0.4489891138944809,0.2894417429929173,0.475520769907311,0.1610006963926977
NC vs AD,50,Before Scaling,KNN,0.6666096896533305,0.050069281244815,0.7389372293012653,0.0421480382576225,0.4334025730367193,0.0794585773184045,0.884521148070019,0.0250613557844448,0.5518293339148757,0.079187274057306
NC vs AD,50,Before Scaling,RandomForest,0.8069974894503499,0.0446974124188512,0.8821143819117928,0.0121438578206027,0.7995197891539355,0.0691043394783883,0.8245890043195596,0.0878163172402923,0.7986352245369607,0.0419878832928272
NC vs AD,50,Before Scaling,SVM,0.8420917686021046,0.0293909500282706,0.8918950570449187,0.0275429896265081,0.7992785669614938,0.0441304793467743,0.8867163315273384,0.0434419707071598,0.8290310640992187,0.0275244763894213
NC vs AD,50,Before Scaling,LogisticRegression,0.7997863361999894,0.0290828301552291,0.8565282926399617,0.0287072519687616,0.7754444742249621,0.049327643882389,0.8289329711111646,0.0680548101772411,0.7870674937760074,0.0304114637649227
NC vs AD,50,After Scaling,NeuralNet,0.5118102665455904,0.0332816541446764,0.5080064868146854,0.0256130911693198,0.3754802108460645,0.2646958605245491,0.6400277534181755,0.2359281264247823,0.372637473913035,0.2234963439492763
NC vs AD,50,After Scaling,KNN,0.6500881363175044,0.0696854716400661,0.7275004824499149,0.0726112737766015,0.4198650942553382,0.1016379265216006,0.8709995976533558,0.0388164472348098,0.5311981579619817,0.0905161934723084
NC vs AD,50,After Scaling,RandomForest,0.7967042358848353,0.042246011795784,0.8789120100240749,0.0141399820507801,0.7802398820691503,0.0545803545299417,0.8202864712829804,0.0733984189225911,0.7855449963653196,0.0448474562688369
NC vs AD,50,After Scaling,SVM,0.827658778911383,0.0379738633977495,0.8896312699334373,0.0248476821964061,0.7730970249262932,0.0499860463673693,0.8854285121627219,0.0671486812182764,0.810517640985255,0.0431874587562764
NC vs AD,50,After Scaling,LogisticRegression,0.7966935526948348,0.0257064946163436,0.8586153634331251,0.0294737943048071,0.7600598588403467,0.0438003613977037,0.8378059869054741,0.0707008041714085,0.7808926454086047,0.0298275777209626
MCI vs AD,50,Before Scaling,NeuralNet,0.5323461507841734,0.0822022649829486,0.5484759110742387,0.0693806518402124,0.5224203694855868,0.3728627227925159,0.5381037672068288,0.3639282510975959,0.5106268195980623,0.218031895376481
MCI vs AD,50,Before Scaling,KNN,0.6220046174667623,0.0232540021481234,0.6611009072423891,0.0247849524817627,0.6631719488241228,0.0415720768136909,0.5669210544695549,0.0818888918377944,0.6731461821374648,0.0194774877179275
MCI vs AD,50,Before Scaling,RandomForest,0.678871108988138,0.0382355769035316,0.7365541425479402,0.0234869485787385,0.836766470244731,0.0293737711629684,0.4545398372652047,0.0652911106941977,0.7539598180142538,0.0278382538329583
MCI vs AD,50,Before Scaling,SVM,0.5878433245760688,0.0169441244704516,0.7922680157232428,0.0344529019254546,1.0,0.0,0.0,0.0,0.7403153669347263,0.0134145276209732
MCI vs AD,50,Before Scaling,LogisticRegression,0.6991163123955099,0.0270438007582819,0.7695144007160728,0.0347811104093802,0.7685124356320009,0.045480402992253,0.6014696636011315,0.0612890096154347,0.7499906179229011,0.0212231780736558
MCI vs AD,50,After Scaling,NeuralNet,0.5549796990685454,0.0186052679099561,0.5524475977552072,0.0164809321719858,0.64661397780963,0.1562478224901295,0.4218107140435725,0.2080637711032676,0.6233723385026505,0.0675675652932477
