Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,F1-score_Mean,F1-score_Std
NC vs MCI,100,Before Scaling,NeuralNet,0.5,0.07115067356034771,0.49970398522716486,0.07444776534217833,0.46522668588242355,0.12512792637972195,0.5218343942718487,0.13464087238807912,0.4178820236471813,0.06642434845177499
NC vs MCI,100,Before Scaling,KNN,0.6265060240963856,0.05164586807072967,0.5787405624854587,0.05672238054089797,0.15854326001866986,0.060513755925240637,0.9307182552289003,0.02179627982109746,0.24790270750584034,0.08586368493612749
NC vs MCI,100,Before Scaling,RandomForest,0.6891566265060242,0.04229756549769146,0.7362718777893114,0.059624034360519225,0.35373782865586145,0.09980778642199972,0.9127494609843223,0.05243607375146665,0.46480867269212245,0.0824896243504491
NC vs MCI,100,Before Scaling,SVM,0.6072289156626506,0.04138690129474136,0.7437765783760225,0.04013654900752142,0.0,0.0,1.0,0.0,0.0,0.0
NC vs MCI,100,Before Scaling,LogisticRegression,0.6819277108433734,0.026050299169204406,0.72763987666498,0.034713337210570676,0.5518044796733321,0.09212284879007318,0.7716235681637701,0.0561313352723598,0.5732482641019789,0.0376283397617
NC vs MCI,100,After Scaling,NeuralNet,0.5313253012048194,0.03391732110905843,0.5257307353454262,0.04099470179183738,0.4143259472767669,0.19154994318275909,0.6013429054517212,0.16183481993806514,0.3902515097091184,0.12417576882283009
NC vs MCI,100,After Scaling,KNN,0.6024096385542169,0.06431974850621269,0.5704366548458684,0.08105932895677563,0.27914446209528176,0.07935827085500877,0.8143487060292797,0.09398048940691296,0.3525360465155758,0.07803315391029676
NC vs MCI,100,After Scaling,RandomForest,0.6951807228915663,0.040990423701696393,0.7394100342960906,0.048270776198861186,0.37239063304637077,0.08200385187588248,0.9086981709208697,0.05563714720539045,0.48593587677814015,0.06886925185698811
NC vs MCI,100,After Scaling,SVM,0.7096385542168674,0.03227251864091296,0.7441026899841543,0.03611376031852857,0.5160496334266826,0.05764999160974821,0.8399226738520097,0.07219913386691548,0.5812888006447228,0.03263725304889104
NC vs MCI,100,After Scaling,LogisticRegression,0.6963855421686747,0.04830559083549267,0.7340127982074169,0.04654037722725885,0.5716965548113089,0.06986754094301882,0.780644688292653,0.05347180468307989,0.5958165717278543,0.054294235867094275
NC vs AD,100,Before Scaling,NeuralNet,0.4964157897548208,0.03717446669134579,0.5067764709165399,0.06550275143982873,0.6879835611542929,0.17107066359256573,0.31699704347626245,0.20497441582343953,0.5590137734728833,0.06571713783115661
NC vs AD,100,Before Scaling,KNN,0.6150632979007531,0.04232078754415149,0.6795073865654431,0.039580450739462585,0.38668140802287143,0.07724042838365304,0.8314011654987439,0.0457490293829337,0.4867035394290971,0.06127716451530102
NC vs AD,100,Before Scaling,RandomForest,0.7967256022648362,0.031494195418084604,0.8798499634116304,0.009870788295732217,0.7687840614669883,0.0635499989916148,0.8345851969019307,0.09421641578615259,0.7829162390941076,0.03155058774504172
NC vs AD,100,Before Scaling,SVM,0.8225468724961275,0.04572677696019907,0.8926505286916205,0.026472618256427848,0.8034329491646565,0.06784753099735039,0.8446251387788969,0.06884343241159879,0.8109944362177514,0.0528372354793658
NC vs AD,100,Before Scaling,LogisticRegression,0.791560279899578,0.03255863513910866,0.8626486794463158,0.03164557816505492,0.7758107745912625,0.045187577049917486,0.807311699487984,0.03397554159015079,0.780248638129174,0.03268759411791944
NC vs AD,100,After Scaling,NeuralNet,0.48399123978419956,0.03860283064958272,0.4861834725587961,0.05467613773626554,0.5772625748235504,0.20662250765409446,0.41805639731951505,0.17885968393906837,0.5025926321264093,0.09512605501470779
NC vs AD,100,After Scaling,KNN,0.6243843811762193,0.04334722608760965,0.6847706111430829,0.03947677509967836,0.45396453140355586,0.09727393260678593,0.7817455107102755,0.023778103618358557,0.5316971933535543,0.07849169208595173
NC vs AD,100,After Scaling,RandomForest,0.7863735911543187,0.02817412623920415,0.8808376213268032,0.002296930136484039,0.7522670419011883,0.07962720324733091,0.8267531877235161,0.054073888462105216,0.7702998140459718,0.028485997058734
NC vs AD,100,After Scaling,SVM,0.8194273810159715,0.024241184210129326,0.8896651012361595,0.01956429152237294,0.7863084070401144,0.05518784171341905,0.8536023695950608,0.05490061367386848,0.8051569210709921,0.03234517207227774
NC vs AD,100,After Scaling,LogisticRegression,0.7750173601837509,0.03026527646609333,0.8491217296444225,0.024238442880878786,0.7605088001429465,0.06967598808402402,0.7907838554001421,0.06423496414918052,0.7635662683174619,0.021569671841276245
MCI vs AD,100,Before Scaling,NeuralNet,0.47288432449645723,0.08321735724951973,0.5033954593367084,0.0651721332114015,0.3389605563518607,0.2671600962396563,0.6655640266348585,0.21149527876434016,0.38056821677497393,0.2402262329460093
MCI vs AD,100,Before Scaling,KNN,0.6168696759812116,0.04595811929193491,0.6525329910228802,0.05486661169729056,0.7456278202473856,0.0826860341072114,0.4374407789698509,0.07479742036285161,0.6945750611040432,0.04402716744140953
MCI vs AD,100,Before Scaling,RandomForest,0.6725579173632672,0.019351858208933377,0.7320835568270101,0.03338890644758916,0.8738067367415194,0.032209279214650874,0.3885929610022617,0.07725954371565091,0.7583087715034098,0.009145698132543104
MCI vs AD,100,Before Scaling,SVM,0.7079850330387709,0.04748419480886604,0.7663708440771207,0.04033238295479764,0.7905235706322663,0.059447100518775324,0.5925277197148391,0.08747353416652955,0.7608518034969108,0.036959817892634306
