Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,F1-score_Mean,F1-score_Std
NC vs MCI,75,Before Scaling,NeuralNet,0.5618381618381618,0.11075312737479777,0.5137401586967671,0.10460802389570203,0.6377368237682761,0.28169939758445206,0.3884652981427175,0.3177536599093663,0.6146198912072802,0.19167941160526572
NC vs MCI,75,Before Scaling,KNN,0.598168498168498,0.06454019819012183,0.6088585198918102,0.08062506496482277,0.7045241298941576,0.007787631861129557,0.441446725317693,0.17081232488011858,0.6851698778177351,0.0506419270401877
NC vs MCI,75,Before Scaling,RandomForest,0.6110889110889111,0.06899763685477223,0.6309798244365795,0.05532089957818285,0.9488547761211962,0.02506751361693622,0.05653958944281525,0.0337665028913409,0.750660327548518,0.05099515550123528
NC vs MCI,75,Before Scaling,SVM,0.6395937395937396,0.10331302460581353,0.6573988627921328,0.1191449083558121,0.7237974098057355,0.10226402987720754,0.4903225806451613,0.14663328434597206,0.7106208405121449,0.09108409674739447
NC vs MCI,75,Before Scaling,LogisticRegression,0.6474525474525474,0.07743256678813383,0.67308604459365,0.09132048982858826,0.7566917356464072,0.06464980339568589,0.46746823069403715,0.12397492262310908,0.725814901387509,0.0641437142408851
NC vs MCI,75,After Scaling,NeuralNet,0.5023976023976024,0.08464315629583202,0.5313754464677296,0.043879718559621805,0.5350258899287577,0.35547906554465036,0.4483870967741936,0.386131036607133,0.5134149014969823,0.24090251617544972
NC vs MCI,75,After Scaling,KNN,0.5955710955710954,0.07675133958785588,0.5607639539078436,0.07742238157823139,0.6718385453584343,0.07176641991838624,0.4750928641251222,0.15637604244330838,0.6716213095827148,0.07329348519048724
NC vs MCI,75,After Scaling,RandomForest,0.6164169164169164,0.05518750934332271,0.6249118931925188,0.0669615921954787,0.8594810601054819,0.04226338904354629,0.22113391984359723,0.07555026027488879,0.7348706070068298,0.042156787258593315
NC vs MCI,75,After Scaling,SVM,0.6344655344655346,0.0786585626227861,0.6538682746874155,0.06811449167990136,0.7713823179595612,0.0612922863213092,0.4026588465298143,0.09980405138136561,0.7219539955323151,0.06785372614351035
NC vs MCI,75,After Scaling,LogisticRegression,0.6423243423243423,0.05879488431720391,0.6700274573712196,0.07774678579634427,0.7397866934175907,0.07088749385052341,0.48019550342130984,0.08670542571519016,0.7175376494333179,0.059719563809891275
NC vs AD,75,Before Scaling,NeuralNet,0.5148936170212766,0.08017635609113521,0.5205936008260487,0.08590119648587653,0.3205734802282117,0.37605706702797287,0.6806342680441352,0.2691516887832398,0.2385550082101806,0.21968054754144678
NC vs AD,75,Before Scaling,KNN,0.6553191489361703,0.10024867225012549,0.6991361525910037,0.08634205073828082,0.17517755262640175,0.13977933531955952,0.9602586267481904,0.03667592194555411,0.2608187134502924,0.18012324835226018
NC vs AD,75,Before Scaling,RandomForest,0.7319148936170213,0.05124082799486085,0.858832839911237,0.031265628759711145,0.33419191422388356,0.02213644825750528,0.9717102396514161,0.016450406795256757,0.4841269841269841,0.024461960329241982
NC vs AD,75,Before Scaling,SVM,0.7531914893617021,0.08590054994972915,0.8291887434418991,0.06032901666228946,0.5086002360810544,0.12127930735199535,0.8972956637852274,0.07286299100487288,0.607856598016781,0.08915777402221957
NC vs AD,75,Before Scaling,LogisticRegression,0.774468085106383,0.06488489651905067,0.8286389935434981,0.05934650095401394,0.5740276411567973,0.12710815576288795,0.8807706093189964,0.10065487608711277,0.6552662698875793,0.05780900557226282
NC vs AD,75,After Scaling,NeuralNet,0.47659574468085103,0.08849631635355498,0.46366001202029583,0.12008921974412139,0.4348499901632893,0.3519127239793194,0.5298264108510787,0.3063905724352089,0.31567701863354036,0.22126463140946342
NC vs AD,75,After Scaling,KNN,0.6638297872340425,0.07730171116844659,0.6648798913542954,0.09142598137094848,0.17541953570725952,0.09065847960967818,0.9658278867102397,0.02145055543407177,0.27332723966779693,0.11291879648435908
NC vs AD,75,After Scaling,RandomForest,0.774468085106383,0.03226755508107042,0.8869526599194119,0.029192743640480835,0.443623844186504,0.06261052560473741,0.9726660341555977,0.01594622531940082,0.5928822055137843,0.05838839538855969
NC vs AD,75,After Scaling,SVM,0.7659574468085106,0.07215244662899221,0.8300167664793108,0.06331932196059051,0.6841191225654141,0.13002564528865082,0.804939560053412,0.07533242944585239,0.6812776904299785,0.10521948256215298
