Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,F1-score_Mean,F1-score_Std
NC vs MCI,75,Before Scaling,NeuralNet,0.5096385542168675,0.060331257631586914,0.5082922636745937,0.061361525890751785,0.6026641118444397,0.35896062901871184,0.4190851564920276,0.35147963861005754,0.4573633792988742,0.13849964678903337
NC vs MCI,75,Before Scaling,KNN,0.6228915662650601,0.0465846142871836,0.6246942776711754,0.06688198526058868,0.28170003038855496,0.045193838375138705,0.8449170812745347,0.02637733022714326,0.36879874957638004,0.048697237678552746
NC vs MCI,75,Before Scaling,RandomForest,0.6987951807228916,0.04151821913280188,0.7400446121362763,0.0591089757797913,0.3954348565823976,0.07762683267540885,0.9008840081181149,0.05155074744392315,0.5043782772227932,0.06202983578947693
NC vs MCI,75,Before Scaling,SVM,0.6072289156626506,0.04138690129474136,0.7452152849749877,0.029818195368134272,0.0,0.0,1.0,0.0,0.0,0.0
NC vs MCI,75,Before Scaling,LogisticRegression,0.6975903614457831,0.04575934702369382,0.7411789598754635,0.03780479554023804,0.5822793963777569,0.1105090326793374,0.7795658880022229,0.04186615057739469,0.598109485094851,0.06314656778126725
NC vs MCI,75,After Scaling,NeuralNet,0.5289156626506024,0.06134529936434203,0.46560866448373817,0.0362117877588807,0.2629373358881556,0.22914353326970358,0.7104100424282537,0.2344317762352977,0.2544335196966776,0.1745577786679352
NC vs MCI,75,After Scaling,KNN,0.6240963855421687,0.06621027307968236,0.6159844590004246,0.06962657350736912,0.2298478570609718,0.13297093471222268,0.8834139445302762,0.03518183716989007,0.3118758080454428,0.14258829018913885
NC vs MCI,75,After Scaling,RandomForest,0.7060240963855422,0.04956627091740775,0.7470300990715301,0.05597880813399647,0.4038769245326622,0.08128077194252833,0.9066220557909729,0.06772637179035253,0.5165150774734694,0.06632766148516568
NC vs MCI,75,After Scaling,SVM,0.6987951807228916,0.04528101318787023,0.751930060866089,0.025205490469027012,0.5365014948621506,0.10866772727611272,0.8122583409402244,0.07299715934984956,0.5786612661454535,0.0657663418366337
NC vs MCI,75,After Scaling,LogisticRegression,0.6963855421686748,0.0435655053777459,0.7401638214120844,0.036859083112574145,0.5744680638123261,0.08529224830161072,0.7806539356800786,0.037551392230728425,0.5955999285267579,0.04948090516433114
