Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,Accuracy_95CI_Low,Accuracy_95CI_High,AUC_Mean,AUC_Std,AUC_95CI_Low,AUC_95CI_High,Sensitivity_Mean,Sensitivity_Std,Sensitivity_95CI_Low,Sensitivity_95CI_High,Specificity_Mean,Specificity_Std,Specificity_95CI_Low,Specificity_95CI_High,F1-score_Mean,F1-score_Std,F1-score_95CI_Low,F1-score_95CI_High,Mean_TP,Mean_TN,Mean_FP,Mean_FN
NC vs MCI,50,Before Scaling,LR (L1),0.6963855421686747,0.039640202111715934,0.6471657303250361,0.7456053540123132,0.7556797289391316,0.0420304802991834,0.7034919947244229,0.8078674631538403,0.6776659770102393,0.059777051343513514,0.6034429644382205,0.7518889895822581,0.713571567927467,0.0756476401231755,0.6196426166374452,0.8075005192174888,0.6356939009355649,0.047024487931268684,0.5773052872373411,0.6940825146337887,44.0,71.6,29.2,21.2
NC vs MCI,50,Before Scaling,LR (L2),0.7096385542168674,0.037956587956682816,0.6625092254563997,0.7567678829773351,0.7527989780536979,0.039669536042002844,0.7035427433248962,0.8020552127824996,0.6798332996693652,0.04115574413930383,0.628731693852306,0.7309349054864245,0.7329461581727513,0.07126053655241239,0.6444645154429374,0.8214278009025653,0.6470109661161453,0.04325419125491634,0.5933037940634954,0.7007181381687951,44.2,73.6,27.2,21.0
NC vs MCI,50,Before Scaling,LR (ElasticNet),0.6951807228915663,0.03728132155847182,0.6488898481069539,0.7414715976761787,0.7556452357691594,0.04074521090946968,0.7050533742836516,0.8062370972546673,0.643194037292398,0.05188037440327486,0.5787760441825194,0.7076120304022766,0.7332054758638694,0.07336334008107763,0.6421128576972159,0.8242980940305229,0.6226686396404887,0.045171957500526806,0.566580246283694,0.6787570329972834,41.8,73.6,27.2,23.4
NC vs MCI,50,Before Scaling,SVM (Linear),0.7132530120481928,0.035022751454816,0.6697665224487092,0.7567395016476764,0.7569661175110729,0.031737181540712346,0.7175592017875132,0.7963730332346326,0.6438379289198961,0.07213756520022843,0.5542673112926956,0.7334085465470966,0.7640686157439566,0.061775839179607855,0.6873637802758118,0.8407734512121013,0.6368155244989033,0.033124135840931455,0.5956864775536077,0.677944571444199,41.6,76.8,24.0,23.6
NC vs MCI,50,Before Scaling,SVM (RBF),0.7084337349397589,0.029695801310521044,0.6715615275546727,0.7453059423248451,0.7548569401144121,0.03535895049946703,0.7109530042649548,0.7987608759638694,0.6449320442763066,0.05860156545160093,0.572168590216672,0.7176954983359412,0.7544133682209315,0.06624031794896888,0.6721651501941261,0.8366615862477369,0.6335140886350394,0.02966283429505296,0.5966828152061882,0.6703453620638907,41.8,75.8,25.0,23.4
NC vs MCI,50,Before Scaling,SVM (Poly d2),0.6277108433734939,0.03866700370091857,0.5796994169596515,0.6757222697873363,0.6499991343784742,0.05981755281150937,0.5757258325917706,0.7242724361651779,0.4776876493269936,0.07049196605822496,0.3901603129098938,0.5652149857440933,0.7260690428786327,0.033160058363327215,0.6848953922305536,0.7672426935267118,0.4999517373256113,0.050476700881378754,0.437276635093103,0.5626268395581197,31.0,73.2,27.6,34.2
NC vs MCI,50,Before Scaling,SVM (Sigmoid),0.7325301204819278,0.03423680057441643,0.6900195177949928,0.7750407231688627,0.7518304016501356,0.04174489871341242,0.6999972638090286,0.8036635394912426,0.6124674960740534,0.055497443911763616,0.5435583179764837,0.6813766741716231,0.812617287451505,0.04174843483489294,0.7607797589356624,0.8644548159673475,0.6415460420948087,0.04448378202322661,0.5863121314526243,0.6967799527369931,39.8,81.8,19.0,25.4
NC vs MCI,50,After Scaling,LR (L1),0.7048192771084338,0.0358926966500391,0.6602526078796314,0.7493859463372363,0.7723270337378367,0.033576026257765755,0.7306368907308247,0.8140171767448487,0.7036177301751072,0.06383496985007234,0.6243561462858495,0.782879314064365,0.7114547681512564,0.07209013203341376,0.6219430465796104,0.8009664897229024,0.6507386164613741,0.037968729836106704,0.6035942115663552,0.697883021356393,45.6,71.4,29.4,19.6
NC vs MCI,50,After Scaling,LR (L2),0.7012048192771084,0.05262040434198184,0.6358679576347445,0.7665416809194724,0.7584536922567121,0.03088950660063655,0.7200993039884241,0.7968080805250001,0.6682906528808168,0.03857008073936711,0.6203995722189322,0.7161817335427014,0.7254944874567828,0.07443954507289323,0.6330655842971047,0.8179233906164609,0.6365724634970511,0.06665973696227892,0.5538034679812565,0.7193414590128457,43.6,72.8,28.0,21.6
NC vs MCI,50,After Scaling,LR (ElasticNet),0.7060240963855422,0.045759347023693844,0.6492063626049089,0.7628418301661755,0.7704311647379674,0.032859416529681905,0.7296308102310796,0.8112315192448551,0.6730218233496922,0.05982102663022467,0.5987442082473534,0.747299438452031,0.7334160489563852,0.08437269167875497,0.6286535152673287,0.8381785826454418,0.642161433337904,0.04441799009386179,0.5870092141657842,0.6973136525100238,43.6,73.6,27.2,21.6
