Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,Accuracy_95CI_Low,Accuracy_95CI_High,AUC_Mean,AUC_Std,AUC_95CI_Low,AUC_95CI_High,Sensitivity_Mean,Sensitivity_Std,Sensitivity_95CI_Low,Sensitivity_95CI_High,Specificity_Mean,Specificity_Std,Specificity_95CI_Low,Specificity_95CI_High,F1-score_Mean,F1-score_Std,F1-score_95CI_Low,F1-score_95CI_High,Mean_TP,Mean_TN,Mean_FP,Mean_FN
NC vs MCI,75,Before Scaling,LR (L1),0.6903614457831326,0.03059861469686818,0.6523682475191228,0.7283546440471425,0.7440214661553434,0.03592840782565284,0.6994104556454478,0.788632476665239,0.6776960380239068,0.0749860362602565,0.584588576431544,0.7708034996162695,0.7048727894121349,0.06323423378309269,0.6263571178696684,0.7833884609546015,0.6306268774467633,0.028885059215958277,0.594761339332324,0.6664924155612025,43.8,70.8,30.0,21.4
NC vs MCI,75,Before Scaling,LR (L2),0.6783132530120481,0.031475543319549756,0.6392312040482602,0.7173953019758361,0.7417419105051278,0.03282945387837727,0.7009787595436557,0.7825050614665999,0.6666445212346852,0.0608550385931912,0.5910830107042189,0.7422060317651515,0.6906759873551453,0.0570729684555308,0.6198105371532935,0.7615414375569972,0.6181916513219282,0.03344840016922198,0.5766599770342925,0.6597233256095639,43.2,69.4,31.4,22.0
NC vs MCI,75,Before Scaling,LR (ElasticNet),0.6819277108433736,0.02993921358985344,0.6447532671943196,0.7191021544924275,0.7454522356208413,0.03636771664845829,0.7002957511615748,0.7906087200801077,0.6556777102678741,0.07396746698972764,0.5638349694684038,0.7475204510673444,0.7043732775541975,0.052466758484251565,0.6392271924418503,0.7695193626665447,0.6164510025142772,0.03183328958454697,0.5769247528927502,0.6559772521358042,42.4,70.8,30.0,22.8
NC vs MCI,75,Before Scaling,SVM (Linear),0.7048192771084336,0.017563108117003887,0.6830117980629895,0.7266267561538777,0.7446375599948521,0.02719052608133608,0.7108760626674366,0.7783990573222677,0.6448227546588202,0.046335175838282484,0.5872900349699839,0.7023554743476565,0.7485422770989782,0.050444681607211904,0.6859069320464515,0.811177622151505,0.6305032884412249,0.020182642857461238,0.6054432274165109,0.655563349465939,41.8,75.2,25.6,23.4
NC vs MCI,75,Before Scaling,SVM (RBF),0.6831325301204819,0.021552462433732926,0.6563716134438766,0.7098934467970872,0.7486659698897684,0.0196776460129121,0.7242329452661376,0.7730989945133993,0.6395238641140281,0.057634886080027585,0.5679607010278824,0.7110870272001737,0.7173480823909929,0.06712522088388365,0.6340011122479989,0.8006950525339869,0.611710012903496,0.01935749166205739,0.5876745124111897,0.6357455133958023,41.4,72.0,28.8,23.8
NC vs MCI,75,Before Scaling,SVM (Poly d2),0.6072289156626506,0.04138690129474136,0.5558402903277574,0.6586175409975438,0.534505340399995,0.18575388697924686,0.30386142641145275,0.7651492543885372,0.003076923076923077,0.0068802091615378135,-0.005465984939070149,0.011619831092916304,0.998019801980198,0.004427857381187707,0.9925218908807965,1.0035177130795996,0.005970149253731343,0.013349659567162924,-0.010605642419091336,0.02254594092655402,0.2,100.6,0.2,65.0
NC vs MCI,75,Before Scaling,SVM (Sigmoid),0.7048192771084338,0.034342633286118626,0.6621772657535461,0.7474612884633216,0.7409419040401948,0.027996190047193364,0.7061800427717242,0.7757037653086654,0.551244875343236,0.10780060049081991,0.4173927507290376,0.6850969999574343,0.8116139232761151,0.04090724657310578,0.7608208679406453,0.862406978611585,0.590165766436953,0.05414098867123426,0.5229408499767234,0.6573906828971825,35.4,81.6,19.2,29.8
NC vs MCI,75,After Scaling,LR (L1),0.6951807228915663,0.04032096513417234,0.6451156321116353,0.7452458136714973,0.7631356729461143,0.03387241970820965,0.7210775088623826,0.8051938370298459,0.7046893907549645,0.06425735206124913,0.6249033500806069,0.7844754314293221,0.6947967471097299,0.07398690768727254,0.6029298674960182,0.7866636267234417,0.6441566833374658,0.03317614758017412,0.6029630552880686,0.685350311386863,45.6,69.8,31.0,19.6
NC vs MCI,75,After Scaling,LR (L2),0.6807228915662651,0.03354074917367486,0.6390765508445303,0.7223692322879999,0.7438157440476434,0.03223217815841761,0.7037942088446465,0.7838372792506403,0.6723438674258346,0.05589481536572002,0.6029412874999733,0.7417464473516959,0.6911564829969608,0.06071562552837386,0.6157680766499574,0.7665448893439641,0.6220448690166106,0.03760317755373024,0.5753543572300798,0.6687353808031414,43.6,69.4,31.4,21.6
NC vs MCI,75,After Scaling,LR (ElasticNet),0.689156626506024,0.05032915319085642,0.6266647289288554,0.7516485240831927,0.757528505529247,0.03479632384108222,0.7143231629459358,0.8007338481125582,0.6614317012677668,0.06827721046123757,0.5766543471402665,0.7462090553952672,0.7127953976759275,0.07948371802154332,0.6141033265651973,0.8114874687866577,0.6251285706495414,0.04827870417429702,0.5651826417963869,0.6850744995026959,42.8,71.6,29.2,22.4
