Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,F1-score_Mean,F1-score_Std
NC vs MCI,50,Before Scaling,NeuralNet,0.4389683350357507,0.10688290636883671,0.5147563857632813,0.0986853755478234,0.6258268047741733,0.20699956979620437,0.38076967150496566,0.16657574240969558,0.29943185353942553,0.14462596388587504
NC vs MCI,50,Before Scaling,KNN,0.7952757916241062,0.08574118755366357,0.5744972565040113,0.10755004059214487,0.08998019524335313,0.10589240313998952,0.9656915796621679,0.02105833428879352,0.13978260869565218,0.15252211714791292
NC vs MCI,50,Before Scaling,RandomForest,0.7907303370786517,0.10708291077043199,0.604025091812525,0.14108814276089385,0.0709804815067973,0.046815873786827084,0.9639665563194976,0.03737007171081959,0.12194768194768195,0.08345249109641711
NC vs MCI,50,Before Scaling,SVM,0.7454800817160369,0.05070632890583382,0.6571905768028763,0.043755326561482046,0.2614858825385141,0.19261401984150112,0.8474815380697734,0.06206935834718212,0.2647510605458461,0.1933761489529705
NC vs MCI,50,Before Scaling,LogisticRegression,0.7816649642492338,0.07568691160581476,0.6474476466398785,0.010099569262337566,0.150396971449603,0.11680353892548256,0.9234035735506325,0.05757435311476322,0.20654385964912278,0.16567005352775124
NC vs MCI,50,After Scaling,NeuralNet,0.4798774259448416,0.15683406372862038,0.48948537608683973,0.10847465525810322,0.5417576575471312,0.35037668477347333,0.44225214328155504,0.2971381393396453,0.2614588915346793,0.13836413991957694
NC vs MCI,50,After Scaling,KNN,0.8019918283963229,0.08547509714024129,0.5281637844908321,0.062010821829382716,0.01818181818181818,0.040655781409087086,0.9913445378151261,0.012825798008524427,0.03333333333333333,0.07453559924999299
NC vs MCI,50,After Scaling,RandomForest,0.7974974463738509,0.08742990930188377,0.6412441373868336,0.08971755175870999,0.07767028293344083,0.03068568638372483,0.9710620915032679,0.02408118000338279,0.12805340895663478,0.045526543888823656
NC vs MCI,50,After Scaling,SVM,0.7929775280898876,0.0890697516217365,0.6421488212509884,0.09331739284146288,0.04592425118740908,0.03254314564452373,0.9706075460487226,0.020724088159323577,0.07852094142416724,0.0552543799219476
NC vs MCI,50,After Scaling,LogisticRegression,0.7772216547497447,0.06850422828241999,0.6237686938573513,0.055433532937333864,0.18758960337907707,0.11460384617925842,0.9124955436720142,0.05115635859625022,0.2425155925155925,0.14269780783020408
NC vs AD,50,Before Scaling,NeuralNet,0.4659025253937191,0.04102782373587415,0.44923174658800635,0.0643850832343592,0.44763295276118054,0.1757627680177341,0.49323703801578916,0.1639982369544181,0.4424151241847172,0.13782237101208533
NC vs AD,50,Before Scaling,KNN,0.6376292982946603,0.04983916533662967,0.7054611487650787,0.04500277526531818,0.49827905482432994,0.06739421124143775,0.792408448323477,0.06441274436840305,0.5832764483937583,0.036055208284211535
NC vs AD,50,Before Scaling,RandomForest,0.79149193924145,0.032712392041303696,0.8717009666876938,0.025057969611158595,0.8101058587859356,0.060232572832816356,0.7805936276890553,0.06816593135747633,0.7977661629576813,0.03396449583466517
NC vs AD,50,Before Scaling,SVM,0.796980710092256,0.01793482126266153,0.8700995987762694,0.026006201929211915,0.7845954185213152,0.07462862182058548,0.8132318122732336,0.04962032600904822,0.796363501165241,0.024323584871460985
NC vs AD,50,Before Scaling,LogisticRegression,0.760246016214705,0.023426385601688693,0.8214746882676858,0.017524946414816216,0.7415851691499251,0.0559107129991742,0.78882589825634,0.05156303208383215,0.7586990526228902,0.022783903035101638
