Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,F1-score_Mean,F1-score_Std
NC vs MCI,100,Before Scaling,NeuralNet,0.4734422880490296,0.13470468705066238,0.5346336309810839,0.07311633846494753,0.5758516337463706,0.3246443307597597,0.4218111790170614,0.23917977905639887,0.2736366564829743,0.1497483501511732
NC vs MCI,100,Before Scaling,KNN,0.8019152196118489,0.08099603399742047,0.5663835847518651,0.04367092949310116,0.055448060711218605,0.039407148636524086,0.9797428062133944,0.022079570468573537,0.09333333333333334,0.0641179468722378
NC vs MCI,100,Before Scaling,RandomForest,0.8132277834525026,0.07978919220740663,0.598591912512543,0.10614575187841252,0.03823194349510139,0.03870953400485605,1.0,0.0,0.0715151515151515,0.07153697663886792
NC vs MCI,100,Before Scaling,SVM,0.7162665985699694,0.09758228843414035,0.628805199866275,0.10531035392221491,0.37896372633214737,0.12351799459168582,0.787392199303964,0.08899977202230244,0.3357565486875832,0.122299741629435
NC vs MCI,100,Before Scaling,LogisticRegression,0.7455566905005109,0.0866807698877439,0.6359525999534442,0.10222517113728599,0.353870690712796,0.06933953108648143,0.8307312622018503,0.07522533711857629,0.3459977703455964,0.0886546872470083
NC vs MCI,100,After Scaling,NeuralNet,0.477808988764045,0.21752983824397215,0.5050878944053725,0.15382579187133355,0.6671381250328619,0.21034466785001643,0.44372167048637634,0.2650433381493823,0.3300629099582588,0.12576749498783754
NC vs MCI,100,After Scaling,KNN,0.811006128702758,0.08468305219521781,0.550314864561276,0.08324582433787078,0.07949068475384265,0.07038336574182369,0.9846778711484594,0.019455591367654887,0.13547738493390668,0.1169315275363284
NC vs MCI,100,After Scaling,RandomForest,0.8064606741573034,0.07930357853520123,0.6114314130532819,0.045586827824911136,0.009523809523809523,0.021295885499997995,0.9970588235294118,0.006576670522058182,0.017391304347826087,0.038888138739126776
NC vs MCI,100,After Scaling,SVM,0.7839121552604699,0.09217005740677241,0.6745146278807973,0.06189541591278734,0.09001700054331632,0.069289365849251,0.9473117731941262,0.04170890071015943,0.12794500185804533,0.0887042597343406
NC vs MCI,100,After Scaling,LogisticRegression,0.772599591419816,0.07816734735092622,0.6852319756267126,0.02821946113722747,0.23424295003242374,0.08016646341378542,0.8998930481283421,0.03941730730057846,0.2790171107202571,0.08782467558901562
NC vs AD,100,Before Scaling,NeuralNet,0.4986860497623707,0.03759343684287047,0.4700481350710569,0.05156774903238524,0.6252831281051023,0.23238475601823463,0.33724945599900963,0.22480564074051107,0.5428940440760112,0.13787691457829984
NC vs AD,100,Before Scaling,KNN,0.5967570589879788,0.050043123278412024,0.6508516529103041,0.03662898528088712,0.4210986538271159,0.07925584317929302,0.775412167052348,0.04717782438012365,0.5131244982431138,0.07175991509387496
NC vs AD,100,Before Scaling,RandomForest,0.7628832354859751,0.02770497017747979,0.8692265704985992,0.01854754944272664,0.7989107951305041,0.09379931642971515,0.7357802366939976,0.0475636014031347,0.7728477318144636,0.03427535025184868
NC vs AD,100,Before Scaling,SVM,0.7833939055074084,0.019269255780749107,0.8525272191158464,0.01511096245307215,0.7987639956638938,0.06552996022044959,0.775019373339428,0.08750311064269994,0.7889704749628627,0.025024328042398146
NC vs AD,100,Before Scaling,LogisticRegression,0.754906346100084,0.0661038895783901,0.8234640431409759,0.045518059155871884,0.764610123989012,0.05780735974234251,0.7569679741736423,0.11793587813510807,0.7608178002634747,0.06429481624329533
NC vs AD,100,After Scaling,NeuralNet,0.5246109402665177,0.04178005054051466,0.5513313840552981,0.06332967964309008,0.5190452251274353,0.11100319511403323,0.5463483784723214,0.20835355214007742,0.5222720925673123,0.03237205788897541
NC vs AD,100,After Scaling,KNN,0.5749697139129625,0.04107491248294158,0.6526790692325588,0.010812326408696147,0.33534705829930705,0.08594166903635653,0.8169219126455827,0.0516052270139596,0.44131488903253613,0.0840243445373559
NC vs AD,100,After Scaling,RandomForest,0.767039418507129,0.01454987582441557,0.8550902151049428,0.009952957398116925,0.7973651959346636,0.08625404100184561,0.7508756689902769,0.08739297900923866,0.7762507849996381,0.015850109345899584
NC vs AD,100,After Scaling,SVM,0.7684279191128506,0.02161669442689924,0.8570511726564887,0.0222950574094475,0.7925725677269628,0.07239076104634432,0.753173567265663,0.09927009991961216,0.7767604839838771,0.016544304917858695
NC vs AD,100,After Scaling,LogisticRegression,0.7276022737862269,0.0402762093707909,0.8110717854795892,0.04631615365003854,0.7134119484137544,0.04095429555150348,0.7527546150806121,0.09422847735801565,0.7271804558844991,0.042531073594105254
MCI vs AD,100,Before Scaling,NeuralNet,0.5255493221131371,0.18530870467497743,0.46394847899714875,0.12098689595312362,0.5120185784364889,0.2667785775680308,0.46110697032436165,0.20359085713123606,0.5994600433482369,0.2427106009739072
MCI vs AD,100,Before Scaling,KNN,0.7661757830762038,0.053626163745853876,0.5980048248432415,0.049926419129941106,0.9063913698242055,0.039072851740299855,0.20678536922015184,0.15949418714575322,0.8623062162847109,0.03439003457063979
MCI vs AD,100,Before Scaling,RandomForest,0.8202197288452547,0.0746559114592804,0.6219384252155181,0.07175379638095411,0.9923076923076923,0.017200522903844526,0.08945479641131815,0.08136312890088739,0.8985227274973561,0.04494938503089104
MCI vs AD,100,Before Scaling,SVM,0.8115474520804113,0.07812326096331684,0.6699894724450207,0.026730087994690524,0.9782855950020128,0.01492909683716273,0.09745479641131813,0.07176951174639584,0.8926124497991967,0.047968592759810955
MCI vs AD,100,Before Scaling,LogisticRegression,0.7661991584852735,0.06982484520571342,0.6488133859074807,0.0487163875313988,0.8909074010566549,0.01834046132500156,0.25840441683919946,0.1358592138114288,0.8597576327492185,0.046469655898544224
MCI vs AD,100,After Scaling,NeuralNet,0.6081580177653109,0.07825167385957088,0.4355409380678686,0.06871866997944895,0.680233895457776,0.15032983960541835,0.2711331953071084,0.2368829922408481,0.7301067384173349,0.08749042985958955
MCI vs AD,100,After Scaling,KNN,0.7640018700327256,0.037550050062151515,0.5893639261692474,0.09755791184371235,0.916346688137733,0.026193629892650908,0.09103933747412007,0.0566838739626368,0.8624040237458163,0.02708983429478012
MCI vs AD,100,After Scaling,RandomForest,0.8202664796633939,0.07599481742016002,0.6540709695764855,0.09793409701113802,0.991981351981352,0.007341936184072952,0.0887591442374051,0.07587593829669131,0.8984180860701743,0.04609529235075072
MCI vs AD,100,After Scaling,SVM,0.8115474520804113,0.07812326096331684,0.6687399125257659,0.039881077015408634,0.9782855950020128,0.01492909683716273,0.09745479641131813,0.07176951174639584,0.8926124497991967,0.047968592759810955
MCI vs AD,100,After Scaling,LogisticRegression,0.7878681626928471,0.06764727879851347,0.6672483527720388,0.058205326517539624,0.9126650960979319,0.01746494891608452,0.28507108350586613,0.13460926321667135,0.8738053806122981,0.04393641900251559
