Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,AUC_Mean,AUC_Std,Sensitivity_Mean,Sensitivity_Std,Specificity_Mean,Specificity_Std,F1-score_Mean,F1-score_Std
NC vs MCI,75,Before Scaling,NeuralNet,0.6394024514811032,0.15534089036316878,0.540152520494485,0.08220738058007011,0.4282688072161756,0.2987173050444203,0.6818139376962906,0.20063274454464083,0.2887428056306775,0.13419236432627904
NC vs MCI,75,Before Scaling,KNN,0.80426455566905,0.08621173871279218,0.5713414431364052,0.08206275654381173,0.06410606936922728,0.06896893744519184,0.9824953314659197,0.012889753057862895,0.11090468751638168,0.11592826413211603
NC vs MCI,75,Before Scaling,RandomForest,0.8019662921348314,0.0785638554547584,0.5722314774383449,0.11094135159323866,0.04592425118740908,0.03254314564452373,0.9831378915202444,0.024307748799849684,0.08096866096866098,0.0554372324598046
NC vs MCI,75,Before Scaling,SVM,0.7387129724208374,0.048748984033319794,0.6456963432477083,0.04742148224017611,0.26933709565288516,0.07055828387924012,0.8459479246243952,0.04469631491653184,0.27999234807745443,0.1096971326970988
NC vs MCI,75,Before Scaling,LogisticRegression,0.7409856996935649,0.07195720209420275,0.6322318056275276,0.03599093158279538,0.3778876094665568,0.0462161891017168,0.8276268992445462,0.07012806151159387,0.3513931230060262,0.05782837052976133
NC vs MCI,75,After Scaling,NeuralNet,0.4208886618998979,0.14975187480681137,0.47601655388736736,0.09721514765667069,0.6247103773419562,0.19594607644256148,0.39240917579152873,0.23776441066637044,0.2851581824653002,0.09630245519083272
NC vs MCI,75,After Scaling,KNN,0.8042134831460676,0.08287468998811506,0.593672813059599,0.058956571377278555,0.0,0.0,0.9968253968253968,0.007098628499999357,0.0,0.0
NC vs MCI,75,After Scaling,RandomForest,0.8019918283963229,0.09049706643480288,0.5817346450575412,0.05034669131064734,0.027705627705627706,0.04090851828546303,0.9877684407096172,0.016769072882567862,0.05,0.07453559924999298
NC vs MCI,75,After Scaling,SVM,0.7658580183861082,0.0571162602682073,0.6689970126193036,0.016556336008793433,0.19051650104281684,0.17886258924328566,0.8888163144045498,0.05886047268316547,0.2174970760233918,0.19382911211068782
NC vs MCI,75,After Scaling,LogisticRegression,0.759090909090909,0.05325017773295038,0.667276761922132,0.03685112537221155,0.14738945265261055,0.1402885432069134,0.8958664374840846,0.05405351186218638,0.17739130434782607,0.1659992939607369
NC vs AD,75,Before Scaling,NeuralNet,0.4713819774485136,0.0322422666021556,0.45102885505093476,0.030134737295621737,0.4718872332460061,0.1811650070093098,0.4742968459846299,0.177613326272827,0.45984482528382814,0.12137123035984841
